Ticker,Type,GapLow,GapHigh,Start,End,FID
AMBA,bullish,48.130001068115234,49.29999923706055,2025-04-30,2025-05-02,AMBA|bullish|2025-04-30|2025-05-02|48.130001|49.299999
AMBA,bullish,49.2400016784668,49.59999847412109,2025-05-01,2025-05-05,AMBA|bullish|2025-05-01|2025-05-05|49.240002|49.599998
AMBA,bullish,50.25,51.7599983215332,2025-05-06,2025-05-08,AMBA|bullish|2025-05-06|2025-05-08|50.250000|51.759998
AMBA,bullish,53.9900016784668,62.77000045776367,2025-06-16,2025-06-30,AMBA|bullish|2025-06-16|2025-06-30|53.990002|62.770000
AMBA,bullish,52.209999084472656,62.0099983215332,2025-06-23,2025-06-25,AMBA|bullish|2025-06-23|2025-06-25|52.209999|62.009998
AMBA,bullish,62.2599983215332,64.76000213623047,2025-06-24,2025-06-26,AMBA|bullish|2025-06-24|2025-06-26|62.259998|64.760002
AMBA,bullish,63.88999938964844,64.22000122070312,2025-08-07,2025-08-11,AMBA|bullish|2025-08-07|2025-08-11|63.889999|64.220001
AMBA,bullish,65.55000305175781,68.44000244140625,2025-08-11,2025-08-13,AMBA|bullish|2025-08-11|2025-08-13|65.550003|68.440002
AMBA,bullish,72.0,75.56999969482422,2025-08-18,2025-09-01,AMBA|bullish|2025-08-18|2025-09-01|72.000000|75.570000
AMBA,bullish,66.1500015258789,66.2699966430664,2025-08-20,2025-08-22,AMBA|bullish|2025-08-20|2025-08-22|66.150002|66.269997
AMBA,bullish,66.41999816894531,70.58999633789062,2025-08-21,2025-08-25,AMBA|bullish|2025-08-21|2025-08-25|66.419998|70.589996
AMBA,bullish,72.68000030517578,80.80000305175781,2025-08-27,2025-08-29,AMBA|bullish|2025-08-27|2025-08-29|72.680000|80.800003
AMBA,bullish,73.5999984741211,75.56999969482422,2025-08-28,2025-09-02,AMBA|bullish|2025-08-28|2025-09-02|73.599998|75.570000
AMBA,bullish,81.0,81.41999816894531,2025-09-03,2025-09-05,AMBA|bullish|2025-09-03|2025-09-05|81.000000|81.419998
AMBA,bullish,81.30000305175781,82.66999816894531,2025-09-04,2025-09-08,AMBA|bullish|2025-09-04|2025-09-08|81.300003|82.669998
